episode,step,reward,ep_reward,delta,cwmins,avg_delay
1,0,0.0,0.0,0,"31,31,31",3190.226666666667
1,1,0.1799266666666663,0.1799266666666663,-1,"15,15,15",3100.263333333334
1,2,-0.5426266666666651,-0.36269999999999886,-1,"7,7,7",3371.5766666666664
1,3,0.7453400000000001,0.38264000000000126,0,"7,7,7",2998.9066666666663
1,4,-0.4889466666666667,-0.10630666666666544,-1,"7,7,7",3243.3799999999997
2,0,0.16489999999999871,0.16489999999999871,1,"15,15,15",3160.9300000000003
2,1,0.5717600000000012,0.7366599999999999,1,"31,31,31",2875.0499999999997
2,2,-0.11307333333333372,0.6235866666666662,-1,"15,15,15",2931.5866666666666
2,3,-0.28823333333333356,0.3353533333333326,-1,"7,7,7",3075.7033333333334
2,4,0.04545333333333292,0.3808066666666655,1,"15,15,15",3052.976666666667
3,0,0.9151933333333345,0.9151933333333345,0,"15,15,15",2595.3799999999997
3,1,-1.0,-0.08480666666666548,1,"31,31,31",3138.86
3,2,0.6748866666666672,0.5900800000000017,0,"31,31,31",2801.4166666666665
3,3,-0.1828733333333348,0.40720666666666694,0,"31,31,31",2892.853333333334
3,4,-0.6435866666666661,-0.23637999999999915,-1,"15,15,15",3214.646666666667
4,0,0.650666666666667,0.650666666666667,1,"31,31,31",2889.3133333333335
4,1,-0.5728266666666668,0.07784000000000013,-1,"15,15,15",3175.726666666667
4,2,0.3053666666666677,0.3832066666666678,-1,"7,7,7",3023.043333333333
4,3,-0.7775466666666679,-0.39434000000000013,1,"15,15,15",3411.816666666667
4,4,0.8131000000000013,0.41876000000000113,0,"15,15,15",3005.2666666666664
5,0,-0.47445333333333384,-0.47445333333333384,1,"31,31,31",3242.4933333333333
5,1,1.0,0.5255466666666662,-1,"15,15,15",2667.0866666666666
5,2,0.3409933333333338,0.86654,0,"15,15,15",2496.5899999999997
5,3,-0.12943333333333432,0.7371066666666657,1,"31,31,31",2561.306666666667
5,4,-0.3039200000000001,0.4331866666666656,-1,"15,15,15",2713.266666666667
6,0,-0.4354466666666658,-0.4354466666666658,1,"31,31,31",2930.99
6,1,0.38975999999999933,-0.04568666666666649,-1,"15,15,15",2736.11
6,2,0.9288933333333335,0.8832066666666669,0,"15,15,15",2271.6633333333334
6,3,-1.0,-0.11679333333333308,1,"31,31,31",3034.6766666666667
6,4,-0.15671333333333315,-0.27350666666666623,0,"31,31,31",3113.0333333333333
7,0,-0.3468066666666673,-0.3468066666666673,0,"31,31,31",3286.436666666667
7,1,0.05857333333333372,-0.2882333333333336,1,"63,63,63",3257.15
7,2,0.5242133333333341,0.23598000000000047,-1,"31,31,31",2995.043333333333
7,3,1.0,1.2359800000000005,0,"31,31,31",1911.5363333333335
7,4,-1.0,0.23598000000000052,1,"63,63,63",3036.6433333333334
8,0,-0.4324933333333329,-0.4324933333333329,0,"63,63,63",3252.89
8,1,0.6036133333333328,0.17111999999999988,-1,"31,31,31",2951.0833333333335
8,2,0.6548800000000001,0.8260000000000001,0,"31,31,31",2623.6433333333334
8,3,-0.5767933333333322,0.2492066666666679,-1,"15,15,15",2912.0399999999995
8,4,1.0,1.249206666666668,-1,"7,7,7",2337.4
9,0,-1.0,-1.0,0,"7,7,7",2926.1333333333337
9,1,0.41632000000000063,-0.5836799999999993,1,"15,15,15",2717.9733333333334
9,2,-0.9854133333333339,-1.5690933333333332,0,"15,15,15",3210.6800000000003
9,3,-0.207326666666665,-1.7764199999999981,-1,"7,7,7",3314.343333333333
9,4,0.2868466666666654,-1.4895733333333327,0,"7,7,7",3170.92
10,0,-0.6080533333333333,-0.6080533333333333,1,"15,15,15",3474.9466666666667
10,1,0.6928933333333335,0.08484000000000014,-1,"7,7,7",3128.5
10,2,1.0,1.0848400000000002,-1,"7,7,7",2122.2426666666665
10,3,-1.0,0.08484000000000025,-1,"7,7,7",2980.816666666667
